proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
Q92890,1044900,2094700,922660,777330,1688300,2117500,876640,962990,1450800,1409200,1815000,1017900,2147900,1205800,1902700,1205400
Q92896,1162600,4217000,1708300,587830,728620,3771900,622910,808460,1104600,3974700,777070,3794500,1211700,3896800,1196000,2840000
Q92900,8111800,6979800,4937800,1784800,4176200,2848500,7254900,3031500,2912000,1882100,2265700,2307300,8901700,3221300,8962400,2401000
Q92905,5887700,4185600,3794100,2059200,5449100,11366000,5696300,6361800,6676300,7773300,6634300,8989600,6617700,10633000,8419000,12100000
Q92930,5173500,5245800,3225200,4810500,3180200,8581500,2719800,6622700,4068800,5699300,3642900,5295600,4185600,5411700,5130900,5775200
Q92932,975870,1080300,833620,117720,1908600,1035200,1171000,875020,1358000,1048900,880470,889010,818660,1150100,1407800,1536300
Q92945,9810400,11091000,5126800,15217000,9861100,19796000,5467400,11023000,20194000,18168000,8657800,7286400,20488000,17979000,9972300,16678000
Q92947,1560500,3856900,1163500,3435900,1828100,2704900,1926200,2499200,1896000,1341000,2620000,2196800,3432800,3652100,1888000,3222100
Q92973,1821700,3461900,2755500,2829300,2291400,3435600,2664100,3502800,2605000,4357600,2683600,4602300,3959900,4682400,3463400,3680700
Q92974,8207100,20353000,5584900,5376800,10223000,13825000,6061800,8140700,10814000,18182000,8950700,15663000,9084600,14701000,13193000,19312000
Q92990,188480,279930,220400,102090,468800,0,379150,330760,386390,317030,335980,279090,458680,251980,399140,463830
Q93008,5562300,12228000,6607600,11286000,8828500,7871300,7633600,8070200,7696800,10476000,5341000,8888500,10773000,10465000,9383200,13740000
Q93009,3389200,6168700,2203200,3904900,4863900,3500100,2702900,6069800,5154500,6758500,3776800,7598000,4704700,6726300,7047600,6446800
Q93034,25563000,8489200,4520200,9987900,15153000,7950400,8286600,9614400,42862000,8894300,3798200,11169000,27836000,13523000,14883000,12355000
