proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22
O00339,-1.6811358,-1.3547458,-1.4672346,-1.0150739,-1.4747792,-1.6658975,-1.5960788,-1.5926886,-1.682107,-0.2589427,-1.4251215,-1.111942,-0.5774589,-0.342365,-1.7015079,0.3822663,-0.3316157,-0.3426777,-0.3242457,-0.9227412,-1.4268709,-1.6554864
O00391,-0.07877651,-0.23096138,-0.09133641,0.69980081,-1.05101533,-0.44124072,-0.40535435,-1.86788751,-1.95730275,-1.35352521,-0.35151796,-0.1816652,-0.02739199,-0.21537276,-1.97670279,-0.55929316,-1.91062113,-0.52969792,0.50119948,-0.49808675,-0.9938872,-0.72340906
O00400,0.25031075,-0.46039943,-0.52974506,-1.29740687,-0.59106491,-0.11925962,-0.05240088,-0.36785311,-0.50053234,-1.36065361,0.04023946,-1.39427472,-0.01911175,-1.46385646,-0.6146249,-0.25047881,-0.25027482,-0.47537932,-0.60657909,-0.73921715,-0.20256185,0.07167381
O00408,-1.55915715,0.52704102,-1.34525492,-0.89309376,-1.35279955,-0.73025802,-1.47409962,0.54786039,0.38079921,0.3577409,0.3362159,0.37053925,-1.31856918,0.63353112,0.39263047,0.67626787,-1.51344459,-0.6478574,1.05057561,-0.08663893,-1.3048912,-1.53350759
O00410,0.81836083,-0.16128151,0.36373849,0.46060824,0.08337354,0.60913884,0.38825775,0.2611117,0.59039405,-1.25411367,0.12056134,0.30898541,0.1049695,0.11844616,0.32757322,0.02976466,0.59645062,0.50353927,-0.50003884,0.38060795,0.17604326,0.51746067
O00411,-1.46954091,-1.14314917,-1.25563825,-0.80347686,-1.26318289,-1.45430247,-1.38448315,-1.38109295,-1.47051205,-0.86672379,-1.213525,-0.90034503,-1.22895248,-0.96992709,-1.48991316,0.06320514,-1.42382822,-1.25721,-0.8116185,-0.77496006,-1.21527448,-1.44389128
O00429,0.7970131,0.713983,0.9663873,1.3127905,0.7396029,1.0468171,0.7994859,1.3165385,0.985117,0.8367496,0.8498457,1.0474595,0.9695132,0.6616979,0.9311779,0.1620488,1.0504777,0.9835455,1.0340734,1.0979051,1.0386547,0.9430352
O00443,-0.01734055,-1.25682528,-1.36931422,-0.91715313,-0.55101278,-0.81501739,-0.79919032,-1.49476865,-1.58418743,-0.98040005,-0.48864382,-0.05583508,-1.34262848,-0.13790387,-0.5242229,0.25260547,-1.53750378,-1.37088596,-0.92529476,-0.12548811,-1.32895051,-0.14772375
O00445,-1.65926304,0.22787614,-0.1790339,-0.29423093,-1.45290617,-0.32997708,-0.77278371,0.40320123,-0.2615845,-1.05644769,-0.10071731,-0.26580379,0.06210605,-1.15965091,-1.6796351,-1.31831001,-1.61355071,-0.45000049,-1.00134242,-0.22410362,-0.13680143,-0.45352499
O00461,0.9336842,0.2275994,0.89228718,0.11567208,0.89982156,0.33860656,0.5989707,0.1590766,-0.07993995,0.04921688,0.47775332,0.54168262,0.70486001,0.36498025,0.51613595,1.46651531,0.83838583,0.04859188,0.49564265,0.88676253,0.42055323,0.87438378
O00468,-1.995259696,-0.969911984,-0.412890681,-1.329208871,-1.788910176,-0.636528043,0.338656991,-0.658053388,-0.877307099,-0.620804675,-1.739253391,-1.426076671,-1.75468055,-1.49565835,-2.015630576,0.006151303,-1.949549639,-0.090767887,-1.337350478,-0.503518646,-1.741002834,-1.969611603
