proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22
Q9NPJ3,47997000,34519000,7401100,25572000,5497500,32812000,11239000,83814000,67313000,42840000,49049000,10326000,39888000,37415000,133780000,57704000,16098000,22083000,15652000,47513000,19710000,69501000
Q9NPL8,2509600,,866090,,,,,,,2994300,4432400,,3966200,,,14460000,,1961200,,,,
Q9NPQ8,20749000,3191000,,,6886300,17702000,31567000,7820500,11276000,1945900,,5465400,18516000,,9637800,5748600,10005000,15556000,5894500,18460000,11115000,16986000
Q9NQ11,,20384000,,,,2913500,,1277700,3531800,2410700,5081100,,,,10758000,3046900,3426000,8751700,,5406600,,
Q9NQ66,,16657000,12833000,,,8598700,,36723000,91150000,17309000,17302000,6116600,5332600,5384300,108380000,2876300,67191000,8612200,,12142000,17715000,6643200
Q9NQ79,,,,,,2248300,,,,,,,,,,4943100,,,,9781600,,
Q9NQ86,,,,,,,,,,,,,,,,,6272400,,,,,2267800
Q9NQ88,7324400,,12059000,16103000,5008900,25020000,13073000,19515000,9010100,,2486900,6278100,5694800,2763700,28327000,4248400,20344000,4213100,3300800,18956000,17451000,7421700
Q9NQC3,2289900000,589790000,650610000,242920000,398080000,1120900000,1251700000,1145900000,1684700000,410380000,1013400000,317100000,838540000,438440000,1349300000,735620000,1315500000,657490000,419620000,1684000000,1499900000,3146500000
Q9NQE9,20981000,24390000,5367500,5602600,10153000,47826000,20461000,77572000,59667000,18133000,34444000,9941500,,13140000,58820000,11791000,18456000,14565000,6416500,37766000,21897000,38981000
Q9NQG1,,21274000,,,,,,,,23803000,,15059000,27613000,,,18647000,7508400,,,,,
Q9NQG5,2423900,,,,14269000,10036000,,,,,,3322200,,,,,,2282600,1071200,,,1643600
Q9NQR4,,,4892500,,5648000,5863700,3918200,5355400,17551000,,2193500,,,,8010500,3229700,3894800,,,,4040200,4810300
Q9NQS1,,,2626600,,4236400,,3266800,2000500,,,,,,,,,1588100,,1939700,2747100,4793100,2777100
Q9NQT8,19618000,77736000,,3536400,8492700,20100000,34627000,36241000,20796000,33781000,11884000,,6653000,,17587000,,25119000,9702100,,65785000,18839000,5487300
Q9NQW7,4221000,1220400,7091800,,6481500,10402000,9565000,,24844000,,7368400,,6157700,,12927000,,18649000,6793300,,,8805500,5179300
Q9NQX3,,7063100,12821000,7032100,,3764800,17186000,6495900,3151700,6013600,,12210000,18815000,5671400,7124300,13236000,,38204000,1293000,32991000,1881400,2644500
Q9NQX7,102130000,42457000,,22825000,169360000,8211400,16399000,15919000,190770000,34960000,49399000,38063000,21346000,63372000,155470000,17446000,61728000,113940000,24061000,49966000,34846000,24054000
Q9NQZ5,,5860200,,4769200,,9806700,,9675200,,3951700,,7176500,,9693400,,12331000,,,,13272000,,
Q9NR09,,,10697000,,12066000,10203000,10265000,,,,,,6100000,2162900,,3613800,4035700,3482100,7792100,4460400,2551400,5738000
Q9NR28,,40006000,12581000,16651000,17682000,38873000,29707000,37643000,,20279000,,44710000,24659000,27140000,55012000,209240000,,36214000,7464700,132320000,15692000,24434000
Q9NR31,94921000,62438000,141270000,58610000,77907000,191330000,144710000,144480000,163050000,39815000,70967000,76317000,31422000,54134000,139350000,43837000,127770000,116040000,54803000,286930000,84275000,158890000
Q9NR34,28902000,3930400,3807800,2088700,36699000,,26124000,,20460000,866640,12610000,,,,31490000,4524900,16995000,,,1897100,4159200,32691000
Q9NR45,2981400,,,,,6862200,7346600,,8097900,,1461100,,,,3885200,,5330700,,,,,
Q9NR46,,5093300,3682800,1750800,,16279000,2246500,75704000,21203000,2737700,15488000,2823700,6913600,6396200,13519000,,13515000,11379000,,26715000,5264000,2574500
Q9NR50,8607300,1904600,47654000,,8452900,6924400,4805900,3429700,6529900,,3489800,,6878300,,3477800,,9383600,,4817100,,8466600,2563000
Q9NR56,,,12816000,,13709000,6860900,7427700,6802100,,,,,5292100,2282700,,,,,4864600,4168700,6512400,
Q9NR77,18970000,,8405400,,9673400,,,,3816100,3617000,10622000,6231600,8308100,4408100,10130000,11054000,2824100,6097900,,,,27884000
Q9NRA2,,9587100,,,,,2827500,,,4005300,,,,,,,,5001600,,5458300,,
Q9NRC1,,4588900,,,,,,,,4842800,,1356100,,,,34097000,,3303100,,13937000,,
Q9NRF8,,2704600,4094500,,14144000,15664000,10740000,25793000,,,,,10021000,,,,6450300,4092300,,12263000,3173800,5530800
Q9NRG7,19138000,7614400,,5035200,,,,,,,7892200,21312000,25647000,11741000,61539000,41998000,4026900,16092000,1671800,12722000,,
Q9NRG9,45773000,5898500,11066000,,15749000,14864000,16543000,5211600,11124000,2325600,2840100,4072000,12048000,7530400,16632000,37023000,6344900,3456300,,32624000,6196100,26274000
Q9NRK6,3106900,62764000,,5247100,,3323000,7769500,7771800,3032400,42744000,2497600,5928200,7830200,24609000,9993500,69994000,,12836000,,6276200,,3409300
Q9NRL2,35029000,13296000,25978000,10128000,,,4278400,1741600,,16816000,46426000,4293000,28424000,19306000,20450000,15413000,,13895000,3017600,,,
Q9NRN7,25818000,22251000,12695000,39136000,12288000,37185000,13388000,41216000,38213000,8403800,15463000,9250800,,14939000,15517000,4731000,43191000,13445000,1257400,39245000,6005100,8368600
Q9NRP0,20476000,2246200,,,8842800,15291000,10971000,6158600,11606000,,4900100,,,,8114100,7477100,5043800,,,6940800,,
Q9NRQ2,7301200,7526900,,,2669800,2360800,5592300,4481100,8845100,1461000,8393900,,,,6846000,,2452500,5620400,1718500,2119000,,6511000
Q9NRV9,,8254600,,,,4492300,9953500,25446000,41985000,,7546500,,15383000,4950500,12856000,4031100,5380300,,4880200,,,14318000
Q9NRW1,41011000,114380000,24416000,76078000,32336000,72863000,62197000,119020000,44937000,37277000,,51930000,47024000,50276000,49521000,18267000,59240000,97586000,,105580000,38347000,54687000
Q9NRW7,47376000,2944300,25610000,2459500,10048000,19382000,30387000,29780000,40694000,,17341000,3072200,4986000,1251900,25803000,,24408000,3461400,,37914000,16736000,40992000
Q9NRX2,,3823900,,3864400,,8705900,7330400,5402700,,7362300,,2505500,2920600,6003500,,45185000,,,1593300,29634000,,
Q9NRX4,,,,,,,,2543800,21987000,,,,,,,,,,,1305400,,
Q9NRX5,27265000,72785000,10964000,15126000,22537000,17811000,20549000,24704000,45398000,21792000,17866000,18841000,35374000,22311000,44502000,29269000,24007000,34727000,12083000,81379000,17050000,20955000
Q9NRY6,11076000,7562400,,,7969800,11699000,,7080000,,3322500,,,,3715100,8573900,4946800,7522800,4529900,4263700,,5749400,7853400
Q9NRZ5,23404000,20479000,,,5146100,8672200,,6168300,11278000,9925700,23858000,5860100,8239100,9889800,16991000,15136000,8315700,10134000,,16778000,8652900,8424700
