proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21
P42262,72932000,0,89459000,0,0,110000000,0,146900000,12560000,3737600,0,1554800,0,0,0,0,1085800,22071000,138930000,0,34242000
P42263,0,0,0,0,0,54212000,0,9414300,0,1035500,0,0,0,0,0,0,0,0,0,0,0
P42285,208790000,502510000,89853000,188380000,39164000,15223000,109030000,27440000,104690000,3008000,40848000,14623000,12846000,124770000,30282000,2530300,2841000,51590000,602990000,20688000,336200000
P42330,28209000,137420000,215670000,9486300,8850200,0,0,110610000,112760000,0,0,0,54849000,52634000,0,0,0,0,76587000,74386000,145920000
P42336,31090000,167060000,336050000,91005000,69668000,306510000,312540000,180410000,165460000,0,14576000,83440000,31904000,226960000,0,0,0,0,57678000,6200000,6144000
P42345,81219000,198890000,4829100,52004000,6417200,33418000,39888000,39309000,46079000,0,0,4007100,0,21969000,8786600,1315000,0,0,46184000,0,339890000
P42356,143360000,80853000,384920000,32180000,22656000,442700000,62310000,392450000,86118000,0,0,17992000,121380000,112760000,1865900,0,1627100,0,233730000,16712000,39500000
P42566,158650000,20063000,42643000,26615000,0,10962000,0,6440300,11823000,0,0,0,0,0,0,0,984690,0,17465000,8703500,6249600
P42574,299110000,18889000,0,152030000,0,0,121710000,12810000,31235000,4407600,29337000,31882000,0,7696000,16131000,7612300,2513900,0,113900000,4052900,489630000
P42658,374690000,23895000,541050000,17289000,14869000,685190000,100600000,581490000,1956200,0,11282000,89907000,0,21787000,2484800,0,0,0,612160000,18702000,83051000
P42677,540750000,248560000,127060000,617670000,95346000,25256000,380960000,0,540080000,16871000,85616000,95722000,73282000,217080000,53477000,11240000,886720,0,688630000,51023000,557040000
P42695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P42704,5509400000,7164800000,694220000,998510000,528350000,1242000000,1647500000,921970000,2129800000,109070000,1012400000,227510000,144800000,1006500000,222000000,57551000,23807000,436420000,4456900000,193240000,1908900000
P42765,4842100000,10198000000,423660000,2062200000,74597000,194900000,179760000,247450000,795660000,49136000,47207000,727850000,107460000,1407800000,44243000,81843000,15967000,19629000,3513400000,53965000,1434200000
P42766,476740000,81761000,239180000,0,0,0,15961000,13400000,53266000,8023500,0,104500000,16569000,52767000,32677000,16929000,6267200,0,230870000,37312000,30719000
P42773,63952000,531380000,0,10364000,0,0,10415000,3117000,0,5190000,0,12476000,0,3483900,11256000,0,10224000,0,0,8740100,4907900
