SwissProt_Accessions,geneName,DISGENET_Score,Harmonizome_Score,Pubpular_Score,CTD_Score,D2_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,D2D_Score,D2H_Score,D2P_Score,D2C_Score,BDMC_Score,Frequency,CTD_Marker,eDGAR_Marker,BIONDA_Marker,Dis_2_Marker
P34130,NTF4,,0.1,0.449,0.527,,,,,0.326,0.333,0.931,,,,,0.326,3,0.0,0,0,0
O15265,ATXN7,,,0.522,,0.092,,,,,,,,,0.312,,0.312,2,0.0,0,0,0
P62258,YWHAE,,,0.514,0.407,0.092,,,,,,0.878,,,0.311,0.304,0.311,3,0.0,0,0,0
P08865,RPSA,,,0.66,0.395,0.077,,,,,,0.85,,,0.309,0.259,0.309,3,0.0,0,0,0
P09038,FGF2,,,0.225,0.283,0.077,,,,,,0.674,,,0.304,0.275,0.304,3,0.0,0,0,0
P05413,FABP3,,,0.582,0.375,0.077,,,,,,0.825,,,0.288,0.26,0.288,3,0.0,0,0,0
Q86XJ0,CALHM3,,,0.668,0.621,0.062,,,,,,1.119,,,0.277,0.262,0.277,3,0.0,0,0,0
Q9BZB8,CPEB1,,,0.532,0.476,0.077,,,,,,0.965,,,0.276,0.266,0.276,3,0.0,0,0,0
O95782,AP2A1,,,0.524,,0.077,,,,,,,,,0.274,,0.274,2,0.0,0,0,0
P03952,KLKB1,,,0.483,,0.077,,,,,,,,,0.267,,0.267,2,0.0,0,0,0
P07202,TPO,,,0.471,0.419,0.077,,,,,,0.904,,,0.265,0.26,0.265,3,0.0,0,0,0
P02655,APOC2,,,0.435,0.435,0.077,,,,,,0.935,,,0.261,0.261,0.261,3,0.0,0,0,0
P32119,PRDX2,0.661,,,0.344,0.046,,,0.779,,,,0.239,,,0.155,0.239,3,0.0,0,0,0
O43752,STX6,,,0.528,,0.062,,,,,,,,,0.235,,0.235,2,0.0,0,0,0
P22301,IL10,,,0.142,0.162,0.046,,,,,,0.607,,,0.233,0.21,0.233,3,0.0,0,0,0
P07384,CAPN1,,,0.514,0.38,0.062,,,,,,0.841,,,0.232,0.211,0.232,3,0.0,0,0,0
P17600,SYN1,,,0.494,,0.062,,,,,,,,,0.227,,0.227,2,0.0,0,0,0
P02786,TFRC,,,0.294,0.283,0.062,,,,,,0.776,,,0.215,0.218,0.215,3,0.0,0,0,0
Q8IU99,CALHM1,,,0.588,,0.046,,,,,,,,,0.213,,0.213,2,0.0,0,0,0
P23528,CFL1,,,0.351,0.372,0.062,,,,,,0.84,,,0.21,0.21,0.21,3,0.0,0,0,0
Q5QGT7,RTP2,,,0.655,,0.031,,,,,,,,,0.199,,0.199,2,0.0,0,0,0
P09497,CLTB,,,0.54,,0.046,,,,,,,,,0.197,,0.197,2,0.0,0,0,0
P55085,F2RL1,,0.055,0.365,0.4,,,,,0.188,0.191,0.85,,,,,0.188,3,0.0,0,0,0
P05937,CALB1,,0.006,0.425,,0.046,,,,0.027,,,,-0.023,0.167,,0.171,3,0.0,0,0,0
Q9Y2J8,PADI2,,,0.575,0.447,0.031,,,,,,0.922,,,0.168,0.123,0.168,3,0.0,0,0,0
P20226,TBP,,,0.404,,0.046,,,,,,,,,0.163,,0.163,2,0.0,0,0,0
P59025,RTP1,,,0.65,,0.015,,,,,,,,,0.158,,0.158,2,0.0,0,0,0
P06733,ENO1,,,0.457,0.322,0.031,,,,,,0.768,,,0.126,0.093,0.126,3,0.0,0,0,0
P19784,CSNK2A2,,,0.437,0.447,0.031,,,,,,0.934,,,0.12,0.123,0.12,3,0.0,0,0,0
P16949,STMN1,,,0.417,0.341,0.031,,,,,,0.808,,,0.114,0.096,0.114,3,0.0,0,0,0
P10415,BCL2,,,0.184,0.053,0.031,,,,,,0.227,,,0.103,0.355,0.103,3,0.0,0,0,0
