proteinId,S1,S2,S3,S4,S5,S6
P06727,34646000,32739000,39224000,31145000,10865000,19298000
P06733,335260000,312360000,353680000,226630000,339360000,416700000
P06744,70666000,143910000,84652000,152020000,131580000,108550000
P06748,10532000,4548100,6416800,7531200,5255600,8783200
P06753,6020900,13606000,7098200,7265100,8943200,13844000
P07099,42043000,41448000,32619000,46556000,49777000,52007000
P07195,179550000,139190000,201690000,126860000,179230000,250470000
P07196,212190000,620410000,222540000,173470000,175220000,125500000
P07197,461060000,840730000,309750000,278120000,209090000,167010000
P07203,1456400,3939400,0,470940,3623700,4350200
P07237,767230,477040,808690,894840,749440,1477200
P07305,136880000,103400000,98822000,123900000,118750000,122430000
P07339,29640000,30196000,27352000,56940000,71555000,55177000
P07355,5936000,5760800,3854600,6499600,10139000,8665200
P07437,25268000,18509000,20492000,19920000,22840000,26517000
P07602,230940000,119550000,163380000,188070000,154160000,188490000
P07737,9070000,6858600,10764000,9478600,5301100,9751500
P07900,49731000,46614000,58149000,37341000,59984000,71676000
P07910,26432000,12548000,6213100,9246900,11433000,15104000
P07954,0,400070,0,452380,1505000,4073100
P08123,2668400,2091800,13504000,43999000,8593200,7850800
P08133,21176000,24788000,20135000,20190000,81287000,64294000
P08195,939080,1616700,804640,1487900,1958500,2826600
P08237,2810200,2036400,1751000,2094200,3674200,2828200
P08238,140800000,128370000,106530000,89973000,89930000,140990000
P08246,0,0,1982400,7508100,330760,0
P08247,9625900,13548000,14246000,18888000,30298000,42135000
P08311,295660,399460,2944900,7795500,720300,336770
P08559,7292800,4917800,2999000,7204600,8029800,7779900
P08572,30187000,9759700,77756000,738990000,214630000,280040000
P08574,2879000,1807300,0,2039600,3924000,4154100
P08621,0,8625700,254990,0,83993000,183750
P08670,10046000,11735000,17644000,23249000,31653000,20215000
P08758,26968000,22742000,24937000,23351000,28361000,35552000
P08779,1814500,9488100,28921000,25289000,8899800,72020000
P09104,764110000,579050000,521600000,471060000,643180000,635630000
P09211,20452000,11854000,16879000,20788000,18303000,29150000
P09382,6974700,8671200,11923000,11325000,14099000,18742000
P09417,127560000,58104000,120390000,116630000,62156000,106640000
P09455,10658000,2054600,4644200,6735200,1091200,6383700
P09471,157880000,154980000,172470000,159770000,177660000,270540000
P09497,0,0,796700,510040,741980,1258000
P09543,2211900000,2407700000,2597400000,2158100000,1252100000,1747400000
P09622,42811000,35610000,31088000,32755000,40953000,50283000
P09651,25465000,13240000,8953100,11294000,11402000,10298000
P09669,2860100,2294400,2467800,2738400,5203300,11940000
P09874,1650500,519700,316450,407070,424820,446080
P09936,69380000,45792000,55617000,59357000,92935000,104370000
P09972,105270000,91697000,108370000,100130000,150900000,211880000
P0C0L4,4090400,61261000,5270800,2132200,16441000,0
P0C0L5,0,0,0,0,1409100,0
P0DMV9,18699000,17460000,19011000,17884000,12620000,18788000
P0DOX2,4203500,4019800,2225000,3236600,412350,3209500
P0DOX7,95107000,42524000,25066000,44616000,19033000,43165000
P0DOY3,25480000,11305000,9404500,15972000,4818600,15549000
P0DP25,42057000,35221000,51343000,44431000,39501000,54064000
P0DPI2,1787700,1267600,0,0,3400800,2736500
P0DUB6,2292000,77922,11630000,40532000,0,0
P10155,2359800,1406500,897620,2026700,3727300,2309100
P10253,720090,671240,875400,0,0,919150
P10301,648870,0,0,882480,4071200,3185700
P10412,0,0,7579100,4296100,7592300,0
P10515,142410000,72611000,66358000,83901000,95250000,79368000
P10599,8244100,0,4628600,5177600,7265000,6402100
P10606,4035000,0,3740500,3696600,4372100,4924300
P10636,6698300,438420000,7119400,7390000,12740000,19482000
P10644,621870,1290800,1274200,1445500,592480,1312800
P10768,1904400,1481200,1042900,2538200,900440,3116200
P10809,8698500,6918100,13548000,16298000,21315000,30815000
P10909,10491000,58476000,4927300,13979000,39660000,35023000
P10915,647550000,521390000,148870000,319190000,306080000,85733000
P11021,9459400,6659600,4210300,3352100,8788500,11365000
P11047,37433000,34343000,35565000,128840000,52343000,57722000
P11137,17429000,34393000,9736900,15683000,15181000,37426000
P11142,59409000,58132000,54971000,53289000,59037000,101250000
P11166,2330300,2762400,1753400,2856800,3554700,4563900
P11169,0,0,0,0,925330,1069900
P11177,5186200,2511500,2638400,7199100,5176200,10245000
P11216,13207000,8542200,12716000,11881000,16354000,20155000
P11217,1897400,1972900,0,0,0,1400200
P11233,10538000,6402000,5940200,7501500,4109800,7410500
P11310,14920000,4104500,2721100,4639100,5152800,1800300
P11387,2342200,300680,0,0,1767200,1184100
P11413,816440,1250100,2067500,2027000,1216100,1142800
P11766,2087700,2541700,2081700,1967300,1137600,3243900
P12036,34654000,124970000,58228000,28053000,29475000,10337000
P12109,2445400,7653900,1078600,3489400,2583900,2427200
P12110,0,2172000,382770,1226800,849900,876780
P12111,1147000,1914800,468390,1235400,637460,1343800
P12235,17918000,18356000,13929000,18547000,29160000,23589000
P12236,105450000,126490000,76879000,141610000,190910000,194540000
P12268,1074600,2183300,0,2302800,3055500,1592100
P12273,1710600,1104800,441440,1374200,341980,519230
P12277,209820000,172990000,197830000,184490000,211570000,254680000
