proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29
P50151,0,7521400,0,1972000,112050000,187150000,0,169210000,69491000,157580000,48615000,93457000,143160000,107370000,115070000,227810000,24175000,21430000,37380000,0,12049000,12126000,0,8908800,0,0,0,0,0
P50213,41998000,52720000,175970000,68475000,310890000,687480000,34201000,245250000,80580000,294690000,27923000,113270000,257930000,196380000,1082600000,219190000,33014000,387850000,101200000,40812000,0,37590000,2227900,58427000,21081000,85692000,48426000,20694000,42654000
P50221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43610000,0,0,0,0,0,0,0,0,0,0,0
P50225,0,25715000,0,1609100,144620000,1634800000,13619000,567870000,478420000,642970000,69036000,536950000,121440000,580600000,880510000,449370000,452280000,929770000,258750000,364530000,41605000,522180000,8577500,149620000,317000000,59830000,11310000,31397000,5476800
P50238,37421000,58881000,380470000,162330000,0,761780000,0,1429500000,8306200,337250000,0,85090000,127190000,192340000,3967700000,42568000,383550,323270000,0,0,1436500,12922000,472150,0,35892000,13032000,1387200000,187730000,86907000
P50281,0,0,0,0,8893900,0,0,0,0,18634000,0,37629000,16685000,0,0,65626000,0,29885000,66478000,7734700,0,5355200,1950500,5247000,0,0,0,0,0
P50336,0,0,0,3403400,1190200,49004000,0,17450000,0,4448800,1452800,14564000,17767000,8096100,92056000,38012000,0,102710000,52851000,37791000,0,0,0,0,0,4218700,0,0,0
P50395,100950000,163960000,396020000,185310000,1794200000,3802200000,1143600000,4306300000,931520000,2015400000,1557700000,6079000000,3182600000,6095400000,5769100000,3469200000,1762100000,7100800000,3194000000,2679500000,55022000,681330000,9708000,148450000,436620000,1094000000,1200700000,995840000,275360000
P50402,0,0,0,6295800,124910000,1039200000,28662000,298320000,215440000,146080000,0,356210000,234880000,180070000,701640000,358830000,63337000,928450000,262200000,95932000,0,13879000,0,0,0,0,0,0,10246000
P50416,0,6350700,3749200,26264000,85906000,690490000,0,115770000,8161300,175130000,34699000,106190000,64042000,115340000,1211000000,85582000,25759000,311540000,141290000,3295100,0,18623000,0,15041000,10415000,0,0,0,0
P50440,0,0,0,0,65711000,271010000,0,398050000,15167000,0,6106000,133780000,65825000,7641300,69280000,32742000,60641000,202360000,0,18621000,528530,0,0,0,0,0,0,26022000,0
P50443,20737000,8405000,1451500,2739000,655760000,2265800000,101900000,24460000,464210000,260400000,70952000,677770000,0,458220000,39732000,999880000,15800000,2663500000,1044300000,690680000,87729000,51788000,11996000,44611000,564150000,158380000,6353200,0,0
P50453,19058000,21461000,5474700,1407900,8492100,33631000,13161000,60745000,48532000,680970000,0,84929000,223090000,30977000,176110000,117370000,20410000,133900000,121080000,113050000,0,0,948590,18033000,0,17145000,17945000,0,10060000
P50454,56821000,339100000,23887000,93414000,1616700000,6341100000,546470000,882920000,2467000000,2238500000,515470000,4660700000,3021600000,5794300000,7107500000,7175200000,2317300000,7334300000,2870000000,4011800000,314450000,737520000,30660000,945770000,327040000,1307800000,814730000,757780000,589160000
