"","Control","Control.1","Control.2","Disease","Disease.1","Disease.2","t_test_p_value"
"P12955",0.25949764,0.29241895,0.21851254,-0.03377842,0.08791094,0.15836595,0.759045006316293
"P12956",-0.1274827,-0.2598169,-1.0671667,-0.486817,-0.3219806,-0.3698821,0.394510653222065
"P13073",-0.09306364,-0.09872105,-0.03018225,-0.09650933,-0.0243311,0.01233874,0.0990481840701707
"P13489",0.4067133,0.2018658,0.4179512,0.1024696,-0.1577182,0.0766966,0.188345877494468
"P13591",0.9155529,1.1510132,0.9302795,1.0130055,1.0872231,1.1138686,0.396105537636792
"P13611",3.26741,3.526256,2.790244,2.574328,2.64666,2.107391,0.240847796343506
"P13637",1.454943,1.516296,1.472212,1.424528,1.546813,1.42924,0.825076757097429
"P13647",1.391046,1.30709,1.435386,1.393621,1.206863,1.615726,0.899712015484802
"P13693",-0.9452403,-0.8170076,-0.7658743,-0.9618823,-0.7892002,-0.8516285,0.705057463717156
"P13716",0.6268278,0.6760546,0.3596224,0.3418543,0.4736183,0.4215897,0.926043086901776
"P13797",0.16104683,0.0844697,-0.02614125,0.09282887,0.03813714,0.01295686,0.591581089490918
"P13798",1.431899,1.367935,1.318911,1.230941,1.267044,1.183263,0.271233787357265
"P13807",0.119772516,0.226370069,0.020914109,-0.005862191,-0.010578695,-0.138858302,0.213506185543681
"P13987",-0.4866485,-0.643645,-0.5724167,-0.5626959,-0.7191039,-0.7366632,0.0248859445777565
"P14136",1.681308,2.215946,1.689134,1.782042,1.817887,1.723159,0.526810608213807
"P14174",0.2163879,0.3139306,0.3394696,0.2835954,0.3512703,0.2815178,0.928614067323773
"P14415",0.1685934,0.1460142,0.2441455,0.1305491,0.3028976,0.3504286,0.0374845943274665
"P14543",0.2580067,0.2806141,0.314178,1.0693901,0.4618871,0.500002,0.801696893676197
"P14550",-0.34035918,-0.35861842,0.05165728,-0.34789222,-0.3198567,-0.30721397,0.55369938550235
"P14618",1.177625,1.239468,1.263014,1.227066,1.367933,1.257758,0.420591941692453
"P14867",-0.4538261,-0.6214075,-0.6265837,-0.7113135,-0.605049,-0.389799,0.373095826823156
