"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","X","t_test_p_value"
"O00533",0.6516253,0.7894111,0.6504744,0.6215488,0.7318501,0.6832277,0.6103373,0.6705517,0.5862282,0.6716799,0.6872489,0.6589004,0.4128413,0.5255418,0.3471256,0.5292638,NA,0.0624660947422304
"O00534",-1.4860659,-1.636018,-0.8735178,-1.4688147,-0.9490782,-0.7166408,-0.9239148,-1.2082361,-0.7089296,-0.6654645,-0.7611682,-0.6686243,-0.641599,-0.4847882,-0.3344665,-0.8367644,NA,0.046241643041217
"O00555",-1.24743683,-1.1874496,0.01218983,-0.22836225,-0.12145904,-0.37807198,-0.31953981,-0.19124605,-1.09253822,-1.42163485,-0.94209967,-0.96378605,-0.97740967,-1.47731006,-1.55139918,-1.20032789,NA,0.000769919834031518
"O00560",0.01577669,0.258928991,-0.032579665,-0.15219597,-0.035076506,-0.135302741,-0.262566967,-0.160633844,-0.109115499,-0.117726857,-0.045319946,0.131177842,0.031650692,0.142390303,0.067590044,-0.001079165,NA,0.062746221425761
"O00562",-0.3407354,-1.1533324,-1.1277165,-0.6474444,-0.8129475,-0.7941634,-0.8692403,-0.7719171,-1.1063049,0.1845185,-0.6397177,-0.5256301,-0.7213918,-0.6419216,-0.6978147,-0.6432228,NA,0.00765192264588119
"O00567",-0.403479764,-0.478577197,-0.305935006,0.068171058,-0.422291228,-0.181694436,-0.239606735,-0.250758492,-0.097436064,-0.175044289,-0.145366249,-0.004341326,-0.511474817,0.00394539,0.020937926,-0.119697255,NA,0.0251705566488383
"O00571",0.5989045,0.6721737,0.6203991,0.5612476,0.5700709,0.5661697,0.5177966,0.5729423,0.599801,0.6711215,0.708577,0.5711377,0.5137309,0.591319,0.6562002,0.6407015,NA,0.14161554121072
"O00584",-0.2805039,-0.666398,-0.2537005,-0.5248603,-0.6935814,-0.6694903,-0.4582602,-0.5111887,-0.7610572,-0.4077237,-0.6017761,-0.3207018,-0.2320356,-0.3972719,-0.2756632,-0.5541037,NA,0.181512685505848
"O00592",-1.470495,-1.109172,-1.455147,-1.411649,-1.225414,-1.222702,-1.136752,-1.146954,-1.19436,-1.100517,-1.09533,-1.30689,-1.360412,-1.637394,-1.47019,-1.313384,NA,0.107972508902719
"O00625",-0.04687446,0.21327675,-0.76849058,-0.47929183,-0.47538323,-0.51353037,-0.71439836,-0.57442469,-0.60730834,-0.53649868,-0.62215323,-0.37812715,-0.51911446,-0.70180673,0.08567133,-0.54392897,NA,0.722548948536549
