proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
O43677,-0.3400963,-0.2561028,-0.5251954,0.1414489,-0.726086,-0.5669649,-0.2452794,-0.240249,-0.1098355,-0.9873595
O43678,0.6425828,0.2192558,0.80171,0.8775869,1.0470997,0.8939062,1.0150744,0.9446204,0.95891,0.4053195
O43681,0.4984461,0.4797763,0.455059,0.4014126,0.1572801,0.4831984,0.2756336,0.2925008,0.102824,0.3652365
O43707,0.9330532,1.1594679,0.5699063,0.9292503,0.8287072,0.8857849,0.9396863,0.858958,1.0193615,1.1257613
O43708,-0.6916461,-0.3409713,-0.6780169,-0.6776014,-0.2351953,-0.2367971,0.1152403,-0.2170102,-0.1553535,-0.2987293
O43747,0.19333221,0.40001809,-0.07336535,0.01853053,0.10780093,0.19340441,-0.23246115,0.07253716,0.09592183,0.31986055
O43752,-0.1964633,1.1491294,-1.4451505,-1.7104718,-1.0384211,-1.3765089,-1.6385075,-0.8947281,-1.6158372,-1.7605325
O43759,0.9909906,-0.1887013,0.5388167,0.8665021,0.5282738,0.8244309,0.669368,0.5197815,0.7957548,0.6481945
O43761,1.3154766,0.9015089,0.7141659,1.1114667,1.2512293,1.0452572,0.9761383,0.6608119,1.0747524,0.9368521
O43772,0.5673383,0.2941637,1.2641601,1.3768149,1.4590397,1.0363446,1.3402803,1.371975,1.1508196,0.9665826
O43776,0.00070062,-0.158633783,-0.660436437,0.023889162,-0.106002883,-0.144885457,-0.35321891,-0.022286785,0.038736266,-0.065688824
O43813,1.2078812,0.7661589,0.9386769,1.0708768,1.1987785,0.9963514,1.1463743,0.9170639,0.9970199,0.9594103
O43815,-0.3096577,0.1734796,-1.0042501,-0.6660541,-0.3368458,-0.1638775,-0.5317334,-1.0755003,-0.894221,-0.4485179
O43819,-1.1786433,-0.2363532,-0.9184285,-0.8199732,-0.7525559,-0.912364,-0.6379442,-1.069775,-0.8913095,-1.1671214
O43837,1.525407,1.351098,1.54083,1.899903,1.672473,1.797325,1.689687,1.636166,1.739275,1.758743
O43865,0.8690008,0.4776508,0.6590417,0.7546003,0.3287469,0.6744659,0.8520215,0.594923,0.6525018,0.7670077
O43920,1.1365814,-0.6429731,1.1445151,1.5283994,1.2359842,1.2282893,1.3733798,1.3337937,1.4554199,1.1282088
O60220,-0.40382861,0.20497243,-0.57108942,-0.15358548,-0.14198895,-0.25281328,-0.04768809,-0.13701818,-0.42603173,-0.27371215
O60238,-0.8832653,-0.4482493,-0.3852473,-0.8525736,-0.9126116,-1.2438667,-0.7363775,-1.1831023,-0.5578085,-0.848393
O60256,-1.0571713,-0.6271595,-0.999641,-1.2459187,-0.8886024,-0.8593441,-1.3692765,-0.9863759,-1.0963587,-1.3347232
O60262,0.5502328,0.30562635,-0.53716872,0.01516653,-0.18594205,0.21797961,0.05262165,0.15780169,0.30524599,-0.54444162
O60282,0.6216755,1.2882173,0.2941376,0.4057212,0.6086036,0.5076807,0.3231436,0.1964244,0.333354,0.5183798
O60307,-0.6584044,0.2973891,-0.6895644,-0.446667,-0.7567169,-0.4641906,-0.6461269,-0.5033192,-0.5583019,-0.6019988
O60313,1.635121,1.766729,1.524325,1.792581,1.386048,1.774697,1.627803,1.864605,1.791587,1.73438
O60331,0.1946854,-0.2173008,-0.1505348,-0.114295,-0.1170546,0.1266515,-0.18761,-0.1289477,-0.2605395,0.2537789
O60443,-1.10816006,-0.99008595,0.09120012,-0.70690353,-0.61964465,-0.52210225,-1.2447088,-0.41960862,-1.5657038,-0.19690022
O60488,-0.5907762,-0.6477836,-0.6812667,-0.6136077,-0.5503009,-0.7531976,-0.5321874,-0.6824707,-0.8011672,-0.5878985
O60493,0.18903562,-0.08731412,0.22256193,-0.23236096,-1.19813679,-0.15253822,-0.18602449,0.06207762,-0.15431375,-0.05406565
O60502,-0.09513731,0.37529376,-0.11866651,-0.12598295,-0.2903395,-0.22741459,-0.0929244,-0.16207476,-0.11004176,-0.19328534
O60503,-0.66923014,0.48701429,-0.39792651,-0.45000084,0.03919199,-0.29461475,-0.66248083,-0.47879147,-0.67034404,-0.86161878
O60506,-0.44401174,-0.12268389,-0.14655576,-0.22473747,-0.46609247,-0.37251791,-0.08879315,-0.10372606,-0.20773087,-0.31364467
O60518,-1.17957883,-0.06082122,-1.3685811,-1.22744198,-0.67514979,-0.89359278,-0.84872651,-0.99325281,-1.86391473,-1.15493031
O60641,0.766889,0.4842333,0.3384979,0.4491948,0.4034196,0.7886761,0.156324,0.4558661,0.6880459,0.7793345
O60684,-0.2123092,-0.4157945,-0.3214391,-0.2274236,-0.2880564,-0.539099,-0.4376324,-0.6960307,-0.5551189,-0.475962
O60716,-0.2208526,0.1833274,-0.50194,-0.6361291,-0.4878795,-0.581672,-0.4575137,-0.5243308,-0.4900009,-0.3945079
O60725,-0.9783773,-0.8800699,-0.6942858,-1.0340621,-0.9925703,-1.028879,-0.7277961,-0.9851005,-1.0295293,-1.0423646
